review,label
This is one of the best Starbucks I've been to, 2
All the people here are so genuinely nice it's become a lovely place to relax and work and chat with them, 0
This is a great Starbucks to go to whether you want to grab a quick treat or sit down and study, 0
The drinks and staff are on parr with what Starbucks has to offer, 2
It's never too crowded and plenty of people are out with their laptops using the WiFi, 0
There are a lot of seats available and the baristas are fast, 0
It's a great place to do work or catch up with friends, 0
It gets crowded on weekends as early as 10am so come early to get a seat, 0
I recommend getting the Starbucks app so you can order ahead and not stand in line, 2
The staff is very friendly supportive and seem to enjoy working there, 2
They make great drinks like perfectly, 2
The atmosphere is a bit loud it's hard to study there, 1
Unfortunately there are not a lot of coffee shops in the area so this is what I'm left with, 2
I rated them a 1 because the music is always super loud and NOT conducive to getting work done, 1
The staff is not super friendly compared to many other locations I've been too, 2
The bathroom is always disgusting and they have a key pad on it which is annoying always having to ask for the password, 2
I love this place the music is not too loud, 0
The atmosphere is great for business work study reading, 0
Very crowded and vibey on a Sunday afternoon, 2
Great spot to catchup or work if you can find a table, 0
Fun draft cold brews but even the black iced coffee is good, 2
Line moves quickly, 2
Totally loved this place, 2
Spacious (ergo lots of seating) and they serve great coffee, 0
Probably not very relevant but cups are also quite pretty, 2
There's good lighting coming from the outside and it's a great place for having a chat w friends or reading your book, 0
Good service, 2
No WiFi and quite noisy usually so would not recommend if you want somewhere to work, 1
Drinks ok nothing special slightly higher than average price but nothing too crazy, 2
Where I started my morning with a cup of their coffee, 2
This location has plenty of seating that can be hanging out with friends and having a nice cup of coffee, 0
I like their out door seating as well to enjoy a little bit of the sunshine, 2
Great spot in a great neighborhood, 2
Friendly staff and quick service, 2
Comfortable seating in very pleasant atmosphere, 0
I'm in this area frequently so very happy to have a go to spot, 2
And Delicious coffee Including my perfectly done cup of Americano, 2
Delicious chai latte, 2
Tiffany was lovely my phone was dying & my charger wasn't working so she took my phone & charged it in her office, 2
Much appreciated and unlikely to have happened at some of the better known large chains, 2
Excellent customer service tasty beverage good atmosphere, 2
This place has a really good selection of coffees brews and other food items, 2
Coffee is at the heart of what they do and the baristas are generally friendly, 2
Prices are normal nothing low or high and options are a plenty, 2
Good enough space to get some work done with outlets but no wifi unfortunately, 0
During the weekend it can get a bit loud and some days it feels like they close before 6 PM so beware of that, 1
I visited this place 2 days ago around 1pm a cashier who received my order didn't seem to know much about coffee, 2
I had to repeat my order to the other cashier making a payment to finish my order because the one before just went his way after he received my order., 2
Also the 2nd cashier was unfriendly and rude when i made a payment, 2
